Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,008050,1922,04,26.2,Y
IDCJAC0002,008050,1922,05,22.9,Y
IDCJAC0002,008050,1922,06,20.3,Y
IDCJAC0002,008050,1922,07,19.3,Y
IDCJAC0002,008050,1922,08,20.7,Y
IDCJAC0002,008050,1922,09,21.4,Y
IDCJAC0002,008050,1922,10,24.2,Y
IDCJAC0002,008050,1922,11,25.8,Y
IDCJAC0002,008050,1922,12,25.4,Y
IDCJAC0002,008050,1923,01,28.1,Y
IDCJAC0002,008050,1923,02,29.7,Y
IDCJAC0002,008050,1923,03,29.8,Y
IDCJAC0002,008050,1923,04,27.5,Y
IDCJAC0002,008050,1923,05,23.3,Y
IDCJAC0002,008050,1923,06,19.9,Y
IDCJAC0002,008050,1923,07,19.9,Y
IDCJAC0002,008050,1923,08,20.9,Y
IDCJAC0002,008050,1923,09,20.2,Y
IDCJAC0002,008050,1923,10,22.6,Y
IDCJAC0002,008050,1923,11,26.0,Y
IDCJAC0002,008050,1923,12,26.6,Y
IDCJAC0002,008050,1924,01,28.6,Y
IDCJAC0002,008050,1924,02,30.3,Y
IDCJAC0002,008050,1924,03,28.0,Y
IDCJAC0002,008050,1924,04,29.4,Y
IDCJAC0002,008050,1924,05,24.1,Y
IDCJAC0002,008050,1924,06,21.3,Y
IDCJAC0002,008050,1924,07,21.2,Y
IDCJAC0002,008050,1924,08,20.2,Y
IDCJAC0002,008050,1924,09,22.0,Y
IDCJAC0002,008050,1924,10,21.6,Y
IDCJAC0002,008050,1924,11,25.5,Y
IDCJAC0002,008050,1924,12,30.3,Y
IDCJAC0002,008050,1925,01,29.0,Y
IDCJAC0002,008050,1925,02,28.9,Y
IDCJAC0002,008050,1925,03,28.9,Y
IDCJAC0002,008050,1925,04,25.7,Y
IDCJAC0002,008050,1925,05,22.8,Y
IDCJAC0002,008050,1925,06,21.7,Y
IDCJAC0002,008050,1925,07,19.4,Y
IDCJAC0002,008050,1925,08,21.2,Y
IDCJAC0002,008050,1925,09,22.4,Y
IDCJAC0002,008050,1925,10,21.6,Y
IDCJAC0002,008050,1925,11,28.3,Y
IDCJAC0002,008050,1925,12,27.1,Y
IDCJAC0002,008050,1926,01,30.6,Y
IDCJAC0002,008050,1926,02,26.7,Y
IDCJAC0002,008050,1926,03,28.9,Y
IDCJAC0002,008050,1926,04,24.4,Y
IDCJAC0002,008050,1926,05,23.4,Y
IDCJAC0002,008050,1926,06,20.9,Y
IDCJAC0002,008050,1926,07,19.7,Y
IDCJAC0002,008050,1926,08,19.4,Y
IDCJAC0002,008050,1926,09,22.2,Y
IDCJAC0002,008050,1926,10,23.1,Y
IDCJAC0002,008050,1926,11,26.4,Y
IDCJAC0002,008050,1926,12,30.3,Y
IDCJAC0002,008050,1927,01,29.1,Y
IDCJAC0002,008050,1927,02,28.8,Y
IDCJAC0002,008050,1927,03,26.4,Y
IDCJAC0002,008050,1927,04,29.0,Y
IDCJAC0002,008050,1927,05,23.9,Y
IDCJAC0002,008050,1927,06,20.1,Y
IDCJAC0002,008050,1927,07,19.2,Y
IDCJAC0002,008050,1927,08,20.4,Y
IDCJAC0002,008050,1927,09,22.8,Y
IDCJAC0002,008050,1927,10,23.9,Y
