Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,009025,1960,07,210.5,Y
IDCJAC0001,009025,1960,08,51.6,Y
IDCJAC0001,009025,1960,09,55.9,Y
IDCJAC0001,009025,1960,10,26.7,Y
IDCJAC0001,009025,1960,11,1.8,Y
IDCJAC0001,009025,1960,12,4.1,Y
IDCJAC0001,009025,1961,01,11.0,Y
IDCJAC0001,009025,1961,02,3.6,Y
IDCJAC0001,009025,1961,03,39.6,Y
IDCJAC0001,009025,1961,04,106.7,Y
IDCJAC0001,009025,1961,05,44.0,Y
IDCJAC0001,009025,1961,06,190.8,Y
IDCJAC0001,009025,1961,07,159.0,Y
IDCJAC0001,009025,1961,08,150.4,Y
IDCJAC0001,009025,1961,09,63.0,Y
IDCJAC0001,009025,1961,10,27.1,Y
IDCJAC0001,009025,1961,11,5.7,Y
IDCJAC0001,009025,1961,12,19.1,Y
IDCJAC0001,009025,1962,01,0.8,Y
IDCJAC0001,009025,1962,02,3.8,Y
IDCJAC0001,009025,1962,03,1.1,Y
IDCJAC0001,009025,1962,04,9.4,Y
IDCJAC0001,009025,1962,05,178.3,Y
IDCJAC0001,009025,1962,06,146.2,Y
IDCJAC0001,009025,1962,07,173.9,Y
IDCJAC0001,009025,1962,08,77.4,Y
IDCJAC0001,009025,1962,09,55.3,Y
IDCJAC0001,009025,1962,10,56.1,Y
IDCJAC0001,009025,1962,11,40.2,Y
IDCJAC0001,009025,1962,12,15.2,Y
IDCJAC0001,009025,1963,01,8.4,Y
IDCJAC0001,009025,1963,02,15.0,Y
IDCJAC0001,009025,1963,03,15.5,Y
IDCJAC0001,009025,1963,04,61.5,Y
IDCJAC0001,009025,1963,05,274.7,Y
IDCJAC0001,009025,1963,06,226.5,Y
IDCJAC0001,009025,1963,07,191.8,Y
IDCJAC0001,009025,1963,08,154.2,Y
IDCJAC0001,009025,1963,09,68.0,Y
IDCJAC0001,009025,1963,10,37.0,Y
IDCJAC0001,009025,1963,11,3.5,Y
IDCJAC0001,009025,1963,12,0.6,Y
IDCJAC0001,009025,1964,01,0.5,Y
IDCJAC0001,009025,1964,02,4.8,Y
IDCJAC0001,009025,1964,03,6.1,Y
IDCJAC0001,009025,1964,04,67.8,Y
IDCJAC0001,009025,1964,05,14.7,Y
IDCJAC0001,009025,1964,06,343.9,Y
IDCJAC0001,009025,1964,07,246.4,Y
IDCJAC0001,009025,1964,08,162.1,Y
IDCJAC0001,009025,1964,09,86.9,Y
IDCJAC0001,009025,1964,10,70.5,Y
IDCJAC0001,009025,1964,11,7.8,Y
IDCJAC0001,009025,1964,12,0.0,Y
IDCJAC0001,009025,1965,01,3.6,Y
IDCJAC0001,009025,1965,02,0.0,Y
IDCJAC0001,009025,1965,03,4.3,Y
IDCJAC0001,009025,1965,04,16.9,Y
